Obs,Cod_Item,Situacao_Item_Pedido,CodGrupoEstoque,Condicao_Pagamento,% Margem F brica Ped
709,3001071301,1,80,60,0.1367
710,3002081118,1,80,60,0.2696
711,3002081157,1,80,60,0.2017
712,3002081318,1,80,60,0.2783
713,3003081118,1,80,60,0.2622
714,3003081157,1,80,60,0.1865
715,3003081318,1,80,60,0.2714
716,3009001501,1,85,60,0.2179
717,3009015071,1,85,60,0.4157
718,3009023016,1,85,60,0.0686
719,3009023107,1,85,60,0.2283
720,3009034101,1,85,60,0.3203
721,3009034401,1,80,60,0.0488
722,3009034501,1,80,60,0.0745
723,3009035591,1,85,60,0.3197
724,3011073134,1,80,60,0.2619
725,3051070017,1,80,60,0.2121
726,3201596730,1,80,60,0.3422
727,3905015101,1,80,60,0.1794
728,3905015115,1,80,60,0.2434
729,3905015190,1,80,60,0.3156
730,14020030232,1,85,60,0.3189
731,3001071101,1,80,60,-0.0533
732,3001071157,1,80,60,-0.1324
733,3002081157,1,80,60,0.055
734,3003081118,1,80,60,0.1162
735,3003081157,1,80,60,0.037
736,3005006801,1,80,60,0.1775
737,3209703030,1,85,60,0.182
738,3905015115,1,80,60,0.0617
739,3905015190,1,80,60,0.2997
740,3909020090,1,80,60,0.1421
741,6508086110,1,86,60,0.266
742,3005018001,0,80,60,1
743,6035000613,0,86,60,1
744,3023064092,1,80,45,0.0668
745,3905006801,1,80,45,0.3636
746,3905006804,1,80,45,0.3364
747,3905010191,1,80,45,0.1983
748,3001086017,1,80,14,0.4227
749,3141084217,1,80,14,0.3377
750,3905003213,1,80,14,-0.0134
751,22001020192,1,87,42,-0.2066
752,22001030192,1,87,42,-0.1481
753,22001030292,1,87,42,-0.3187
754,3009034401,1,80,84,0.0884
755,3001052005,1,80,56,0.3421
